no;treated;age;age2;educ;black;hispanic;married;nodegree;re74;re75;re78
39;1;46;2116;8;1;0;1;1;0;0;3094.156006
40;1;24;576;10;1;0;0;1;0;0;0
41;1;21;441;12;1;0;0;0;0;0;1254.582031
42;1;19;361;9;0;0;0;1;0;0;13188.83008
43;1;17;289;8;1;0;0;1;0;0;8061.484863
44;1;18;324;8;0;1;1;1;0;0;2787.959961
45;1;20;400;11;1;0;0;1;0;0;3972.540039
46;1;25;625;11;1;0;1;1;0;0;0
47;1;17;289;8;1;0;0;1;0;0;0
48;1;17;289;9;1;0;0;1;0;0;0
49;1;25;625;5;1;0;0;1;0;0;12187.41016
50;1;23;529;12;1;0;0;0;0;0;4843.175781
51;1;28;784;8;1;0;0;1;0;0;0
52;1;31;961;11;1;0;1;1;0;0;8087.486816
53;1;18;324;11;1;0;0;1;0;0;0
54;1;25;625;12;1;0;0;0;0;0;2348.9729
55;1;30;900;11;1;0;1;1;0;0;590.7817993
56;1;17;289;10;1;0;0;1;0;0;0
57;1;37;1369;9;1;0;0;1;0;0;1067.505981
58;1;41;1681;4;1;0;1;1;0;0;7284.98584
59;1;42;1764;14;1;0;1;0;0;0;13167.51953
60;1;22;484;11;0;0;0;1;0;0;1048.432007
61;1;17;289;8;1;0;0;1;0;0;0
62;1;29;841;8;1;0;0;1;0;0;1923.937988
63;1;35;1225;10;1;0;0;1;0;0;4666.23584
64;1;27;729;11;1;0;0;1;0;0;549.2984009
65;1;29;841;4;1;0;0;1;0;0;762.9146118
66;1;28;784;9;1;0;0;1;0;0;10694.29004
67;1;27;729;11;1;0;0;1;0;0;0
68;1;23;529;7;0;0;0;1;0;0;0
69;1;45;2025;5;1;0;1;1;0;0;8546.714844
70;1;29;841;13;1;0;0;0;0;0;7479.655762
71;1;27;729;9;1;0;0;1;0;0;0
72;1;46;2116;13;1;0;0;0;0;0;647.2045898
73;1;18;324;6;1;0;0;1;0;0;0
74;1;25;625;12;1;0;0;0;0;0;11965.80957
75;1;28;784;15;1;0;0;0;0;0;9598.541016
76;1;25;625;11;0;0;0;1;0;0;18783.34961
77;1;22;484;12;1;0;0;0;0;0;18678.08008
78;1;21;441;9;1;0;0;1;0;0;0
79;1;40;1600;11;1;0;0;1;0;0;23005.59961
80;1;22;484;11;1;0;0;1;0;0;6456.696777
81;1;25;625;12;1;0;0;0;0;0;0
82;1;18;324;12;1;0;0;0;0;0;2321.106934
83;1;38;1444;12;0;0;0;0;0;0;4941.849121
84;1;27;729;13;1;0;0;0;0;0;0
85;1;27;729;8;1;0;0;1;0;0;0
86;1;38;1444;11;1;0;0;1;0;0;0
87;1;23;529;8;0;1;0;1;0;0;3881.283936
88;1;26;676;11;1;0;0;1;0;0;17230.96094
89;1;21;441;12;0;0;0;0;0;0;8048.603027
90;1;25;625;8;1;0;0;1;0;0;0
91;1;31;961;11;1;0;1;1;0;0;14509.92969
92;1;17;289;10;1;0;0;1;0;0;0
93;1;25;625;11;1;0;0;1;0;0;0
94;1;21;441;12;1;0;0;0;0;0;9983.78418
95;1;44;1936;11;1;0;0;1;0;0;0
96;1;25;625;12;0;0;0;0;0;0;5587.50293
97;1;18;324;9;1;0;0;1;0;0;4482.845215
98;1;42;1764;12;1;0;0;0;0;0;2456.153076
99;1;25;625;10;1;0;0;1;0;0;0
100;1;31;961;9;0;1;0;1;0;0;26817.59961
101;1;24;576;10;1;0;0;1;0;0;0
102;1;26;676;10;1;0;0;1;0;0;9265.788086
103;1;25;625;11;1;0;0;1;0;0;485.2297974
104;1;18;324;11;1;0;0;1;0;0;4814.626953
105;1;19;361;11;1;0;0;1;0;0;7458.10498
106;1;43;1849;9;1;0;0;1;0;0;0
107;1;27;729;13;1;0;0;0;0;0;34099.28125
108;1;17;289;9;1;0;0;1;0;0;1953.267944
109;1;30;900;11;1;0;0;1;0;0;0
110;1;26;676;10;1;0;1;1;2027.999023;0;0
111;1;20;400;9;1;0;0;1;6083.994141;0;8881.665039
112;1;17;289;9;0;1;0;1;445.1704102;74.34345245;6210.669922
113;1;20;400;12;1;0;0;0;989.2678223;165.2077026;0
114;1;18;324;11;1;0;0;1;858.2542725;214.5635986;929.8839111
115;1;27;729;12;1;0;1;0;3670.87207;334.0492859;0
116;1;21;441;12;0;0;0;0;3670.87207;334.049408;12558.01953
117;1;27;729;12;1;0;0;0;2143.413086;357.9498901;22163.25
118;1;20;400;12;1;0;0;0;0;377.5686035;1652.636963
119;1;19;361;10;1;0;0;1;0;385.2741089;8124.714844
120;1;23;529;12;1;0;0;0;5506.308105;501.0740967;671.3317871
121;1;29;841;14;1;0;0;0;0;679.6734009;17814.98047
122;1;18;324;10;1;0;0;1;0;798.9078979;9737.154297
123;1;19;361;9;1;0;0;1;0;798.9078979;17685.17969
124;1;27;729;13;0;0;1;0;9381.566406;853.7224731;0
125;1;18;324;11;0;0;0;1;3678.230957;919.5579224;4321.705078
126;1;27;729;9;1;0;1;1;0;934.4453735;1773.422974
127;1;22;484;12;1;0;0;0;5605.852051;936.1773071;0
128;1;23;529;10;1;0;1;1;0;936.4385986;11233.25977
129;1;23;529;12;0;1;0;0;9385.740234;1117.438965;559.4431763
130;1;20;400;11;1;0;0;1;3637.498047;1220.83606;1085.439941
131;1;17;289;9;1;0;0;1;1716.509033;1253.438965;5445.200195
132;1;28;784;11;1;0;0;1;0;1284.078979;60307.92969
133;1;26;676;11;1;0;1;1;0;1392.853027;1460.359985
134;1;20;400;11;1;0;0;1;16318.62012;1484.994019;6943.341797
135;1;24;576;11;1;0;1;1;824.3886108;1666.113037;4032.708008
136;1;31;961;9;1;0;0;1;0;1698.607056;10363.26953
137;1;23;529;8;0;0;1;1;0;1713.150024;4232.309082
138;1;18;324;10;1;0;0;1;2143.410889;1784.274048;11141.38965
139;1;29;841;12;1;0;0;0;10881.94043;1817.284058;0
140;1;26;676;11;0;0;0;1;0;2226.266113;13385.86035
141;1;24;576;9;1;0;0;1;9154.700195;2288.675049;4849.559082
142;1;25;625;12;1;0;0;0;14426.79004;2409.273926;0
143;1;24;576;10;1;0;0;1;4250.401855;2421.947021;1660.508057
144;1;46;2116;8;1;0;0;1;3165.657959;2594.7229;0
145;1;31;961;12;0;0;0;0;0;2611.218018;2484.549072
146;1;19;361;11;1;0;0;1;2305.025879;2615.275879;4146.603027
147;1;19;361;8;1;0;0;1;0;2657.056885;9970.680664
148;1;27;729;11;1;0;0;1;2206.939941;2666.273926;0
149;1;26;676;11;1;0;1;1;0;2754.645996;26372.2793
150;1;20;400;10;1;0;0;1;5005.730957;2777.35498;5615.188965
151;1;28;784;10;1;0;0;1;0;2836.506104;3196.571045
152;1;24;576;12;1;0;0;0;13765.75;2842.763916;6167.681152
153;1;19;361;8;1;0;0;1;2636.353027;2937.263916;7535.941895
154;1;23;529;12;1;0;0;0;6269.34082;3039.959961;8484.239258
155;1;42;1764;9;1;0;1;1;0;3058.531006;1294.409058
156;1;25;625;13;1;0;0;0;12362.92969;3090.731934;0
157;1;18;324;9;1;0;0;1;0;3287.375;5010.341797
158;1;21;441;12;1;0;0;0;6473.683105;3332.408936;9371.037109
159;1;27;729;10;1;0;0;1;1001.145996;3550.074951;0
160;1;21;441;8;1;0;0;1;989.2678223;3695.896973;4279.612793
161;1;22;484;9;1;0;0;1;2192.876953;3836.986084;3462.563965
162;1;31;961;4;1;0;0;1;8517.588867;4023.210938;7382.548828
163;1;24;576;10;1;0;1;1;11703.2002;4078.1521;0
164;1;29;841;10;1;0;0;1;0;4398.950195;0
165;1;29;841;12;1;0;0;0;9748.386719;4878.937012;10976.50977
166;1;19;361;10;0;0;0;1;0;5324.108887;13829.62012
167;1;19;361;11;0;1;1;1;5424.484863;5463.803223;6788.462891
168;1;31;961;9;1;0;0;1;10717.03027;5517.84082;9558.500977
169;1;22;484;10;1;0;1;1;1468.348022;5588.664063;13228.28027
170;1;21;441;9;1;0;0;1;6416.470215;5749.331055;743.666626
171;1;17;289;10;1;0;0;1;1291.468018;5793.852051;5522.788086
172;1;26;676;12;1;0;1;0;8408.761719;5794.831055;1424.94397
173;1;20;400;9;0;1;0;1;12260.78027;5875.048828;1358.642944
174;1;19;361;10;1;0;0;1;4121.949219;6056.753906;0
175;1;26;676;10;1;0;0;1;25929.67969;6788.958008;672.8773193
176;1;28;784;11;1;0;0;1;1929.029053;6871.855957;0
177;1;22;484;12;0;1;1;0;492.2304993;7055.702148;10092.83008
178;1;33;1089;11;1;0;0;1;0;7867.916016;6281.433105
179;1;22;484;12;0;0;0;0;6759.994141;8455.503906;12590.70996
180;1;29;841;10;0;1;0;1;0;8853.673828;5112.01416
181;1;33;1089;12;1;0;1;0;20279.94922;10941.34961;15952.59961
182;1;25;625;14;1;0;1;0;35040.07031;11536.57031;36646.94922
183;1;35;1225;9;1;0;1;1;13602.42969;13830.63965;12803.96973
184;1;35;1225;8;1;0;1;1;13732.07031;17976.15039;3786.62793
185;1;33;1089;11;1;0;1;1;14660.70996;25142.24023;4181.941895
186;0;45;2025;11;0;0;1;1;21516.66992;25243.55078;25564.66992
187;0;21;441;14;0;0;0;0;3175.970947;5852.564941;13496.08008
188;0;38;1444;12;0;0;1;0;23039.01953;25130.75977;25564.66992
189;0;48;2304;6;0;0;1;1;24994.36914;25243.55078;25564.66992
190;0;18;324;8;0;0;1;1;1669.295044;10727.61035;9860.869141
191;0;22;484;11;0;0;1;1;16365.75977;18449.26953;25564.66992
192;0;48;2304;10;0;0;1;1;16804.63086;16354.59961;18059.30078
193;0;18;324;11;0;0;0;1;1144.212036;3620.031982;15739.26953
194;0;48;2304;9;0;0;1;1;25862.32031;25243.55078;25564.66992
195;0;45;2025;12;0;0;1;0;25862.32031;0;3924.842041
196;0;34;1156;14;0;0;1;0;25862.32031;23746.83984;25564.66992
197;0;16;256;10;0;0;0;1;1026.656006;1224.581055;6847.785156
198;0;53;2809;10;0;0;1;1;25862.32031;25243.55078;25564.66992
199;0;19;361;12;0;0;0;0;867.9552002;4386.290039;8777.696289
200;0;27;729;12;0;0;1;0;25862.32031;19047.24023;19214.88086
201;0;32;1024;10;0;0;1;1;20427.32031;23374.44922;9179.636719
202;0;27;729;12;0;0;1;0;20983.75;14822.08008;25564.66992
203;0;46;2116;7;0;0;1;1;19171.42969;1317.677002;0
204;0;24;576;13;0;0;0;0;20830.91992;25243.55078;23903.71094
205;0;22;484;13;0;0;0;0;11036.5498;10351.65039;6556.672852
206;0;49;2401;10;0;0;1;1;391.8533936;0;0
207;0;17;289;10;0;0;0;1;0;0;4755.324219
208;0;29;841;14;0;0;1;0;21499.0293;22586.71094;20923.13086
209;0;28;784;16;0;0;1;0;16500.94922;0;10267.24023
210;0;46;2116;12;0;0;1;0;24814.10938;24967.83984;19339.00977
211;0;26;676;17;1;0;1;0;0;0;4753.846191
212;0;49;2401;12;0;0;0;0;25862.32031;25243.55078;25564.66992
213;0;51;2601;10;0;0;1;1;25862.32031;25243.55078;25564.66992
214;0;51;2601;10;0;0;1;1;22923.41992;21725.56055;10348.51953
215;0;27;729;11;0;0;1;1;17022.10938;18123.43945;18490.78906
216;0;23;529;13;0;0;0;0;19098.92969;21014.81055;0
217;0;27;729;10;0;0;1;1;7952.664063;9755.467773;13105.95996
218;0;38;1444;10;0;0;1;1;25862.32031;25243.55078;25564.66992
219;0;32;1024;8;0;0;0;1;7186.59082;6149.757813;8414.174805
220;0;34;1156;14;0;0;1;0;25862.32031;25243.55078;25564.66992
221;0;26;676;18;0;0;1;0;20971.99023;21883.10938;25564.66992
222;0;21;441;13;0;0;0;0;8638.407227;8176.402832;6753.209961
223;0;39;1521;8;0;1;0;1;13499.34961;16383.24023;16461.86914
224;0;17;289;8;1;0;0;1;0;451.1612854;0
225;0;22;484;11;0;1;1;1;17466.85938;17779.68945;14438.87012
226;0;21;441;12;0;1;0;0;0;0;0
227;0;44;1936;9;0;1;1;1;15390.04004;14886.53027;12634.55957
228;0;26;676;10;0;1;1;1;17125.94922;17446.68945;13518.24023
229;0;54;2916;4;0;1;1;1;13350.44043;13180.34961;13741.37988
230;0;42;1764;12;0;1;1;0;21663.60938;22013.81055;19941.91992
231;0;25;625;12;0;0;0;0;8105.486816;11869.83984;6170.98584
232;0;20;400;13;0;0;0;0;317.4012146;214.8386993;0
233;0;44;1936;11;0;0;1;1;25862.32031;25243.55078;25564.66992
234;0;33;1089;12;0;0;1;0;25862.32031;25243.55078;25564.66992
235;0;40;1600;12;0;0;1;0;25862.32031;14494.4502;25564.66992
236;0;25;625;16;0;0;1;0;21048.40039;22916.13086;23574.16992
237;0;33;1089;12;0;0;0;0;12694.08984;13046.08008;11264.70996
238;0;52;2704;13;1;0;0;0;19827.7793;19668.48047;18437.58984
239;0;54;2916;14;0;0;1;0;24686.75977;25243.55078;25564.66992
240;0;27;729;15;0;0;0;0;19200.81055;19303.25977;18207.07031
241;0;51;2601;10;0;0;1;1;7488.317871;7888.161133;6148.819824
242;0;42;1764;12;0;0;1;0;6502.807129;15241.01953;15468.83984
243;0;50;2500;10;0;0;1;1;25862.32031;25243.55078;25564.66992
244;0;47;2209;10;0;0;1;1;15282.28027;13964.51953;9043.686523
245;0;28;784;12;0;0;1;0;24224.36914;11019.44043;20055.71094
246;0;33;1089;12;0;0;1;0;25862.32031;25243.55078;25564.66992
247;0;33;1089;13;0;0;1;0;21146.36914;18732.15039;22254.56055
248;0;55;3025;16;0;0;1;0;25862.32031;24627.67969;25564.66992
249;0;38;1444;12;0;0;1;0;25862.32031;25243.55078;25564.66992
250;0;39;1521;16;0;0;1;0;25862.32031;25243.55078;25564.66992
251;0;27;729;17;0;0;1;0;25862.32031;25243.55078;25564.66992
252;0;16;256;9;0;0;0;1;378.1384888;467.2742004;4306.095215
253;0;35;1225;12;0;0;1;0;6645.833008;3331.790039;0
254;0;35;1225;12;0;0;1;0;22421.84961;21093.58008;23590.42969
255;0;45;2025;12;0;0;1;0;25862.32031;25243.55078;0
256;0;51;2601;11;0;0;1;1;18270.16016;21637.83984;20267.01953
257;0;27;729;16;0;0;0;0;11316.73047;1761.677002;5532.60791
258;0;28;784;14;0;0;1;0;0;0;18719.83984
259;0;35;1225;18;0;0;1;0;25862.32031;25243.55078;25564.66992
260;0;39;1521;10;0;0;1;1;18534.66016;0;21496.49023
261;0;33;1089;12;0;0;0;0;25862.32031;25243.55078;25564.66992
262;0;52;2704;16;0;0;1;0;25862.32031;25241.75977;12429.16016
263;0;22;484;13;0;0;0;0;5023.560059;6819.338867;13943.83008
264;0;25;625;12;0;0;1;0;20070.73047;11117.90039;19003.56055
265;0;28;784;16;0;0;1;0;25013.96094;22710.24023;0
266;0;27;729;16;0;0;1;0;16888.88086;16200.62988;17295.31055
267;0;30;900;13;0;0;0;0;8362.151367;7990.209961;8590.025391
268;0;28;784;15;0;0;0;0;9672.900391;8085.097168;14348.73047
269;0;24;576;12;0;0;1;0;19083.25977;18270.24023;22261.94922
270;0;29;841;11;1;0;0;1;14743.48047;14954.55957;13714.78027
271;0;49;2401;7;1;0;0;1;16444.13086;16028.75977;15965.36035
272;0;22;484;12;0;0;1;0;13352.40039;14358.38965;17051.49023
273;0;30;900;16;0;0;1;0;25862.32031;25243.55078;25564.66992
274;0;45;2025;12;0;0;1;0;24185.18945;25243.55078;0
275;0;44;1936;12;0;0;1;0;24669.13086;24418.21094;25564.66992
276;0;21;441;12;0;0;0;0;11465.62988;1953.241943;25564.66992
277;0;26;676;13;0;0;1;0;11661.55957;4142.806152;18650.39063
278;0;25;625;16;0;0;1;0;18822.67969;20112.48047;20986.66992
279;0;45;2025;8;0;0;1;1;16883;15316.20996;17010.10938
280;0;19;361;9;0;0;0;1;3311.160889;10525.30957;1693.474976
281;0;55;3025;9;0;0;1;1;12609.83984;12349.65039;12201.58984
282;0;22;484;12;0;0;1;0;12423.70996;13035.33984;17482.98047
283;0;37;1369;18;0;0;1;0;0;16735.93945;25564.66992
284;0;38;1444;12;0;0;1;0;25862.32031;25243.55078;25298.67969
285;0;29;841;13;0;0;1;0;17962.56055;11590.5498;2639.219971
286;0;43;1849;8;0;0;1;1;21044.48047;25243.55078;1301.876953
287;0;51;2601;10;0;0;1;1;25862.32031;19817.08008;4.433179855
288;0;25;625;14;0;0;1;0;11769.32031;11624.55957;13903.92969
289;0;52;2704;12;0;0;1;0;20776.07031;20808.91992;10394.33008
290;0;26;676;14;0;0;1;0;22886.19922;24523.83984;25564.66992
291;0;37;1369;18;0;0;1;0;25862.32031;25243.55078;25564.66992
292;0;36;1296;12;0;0;1;0;25862.32031;25243.55078;25564.66992
293;0;27;729;14;0;0;1;0;6395.046875;18513.73047;21258.57031
294;0;21;441;11;0;0;1;1;20817.21094;25243.55078;25564.66992
295;0;44;1936;12;0;0;1;0;22686.34961;0;19081.88086
296;0;49;2401;17;0;0;1;0;25862.32031;25243.55078;25564.66992
297;0;32;1024;0;0;0;0;1;4559.213867;3976.305908;7246.770996
298;0;23;529;12;0;0;1;0;16593.0293;17622.15039;22872.25
299;0;46;2116;12;0;0;1;0;18636.55078;18214.74023;20485.7207
300;0;17;289;10;0;0;0;1;0;1536.097046;19808.91992
301;0;26;676;12;0;0;1;0;19067.58008;24849.67969;22545.66992
302;0;27;729;12;0;0;1;0;19637.73047;8178.193848;25564.66992
303;0;30;900;15;0;0;1;0;23871.71094;25243.55078;25564.66992
304;0;23;529;12;0;0;0;0;23826.64063;24942.76953;25523.28906
305;0;22;484;12;0;0;1;0;13540.49023;21766.74023;25564.66992
306;0;30;900;18;0;0;1;0;23127.18945;23580.33984;25564.66992
307;0;32;1024;14;0;0;1;0;20145.17969;15941.03027;25564.66992
308;0;27;729;14;0;0;0;0;15576.16992;24706.44922;25564.66992
309;0;18;324;12;0;0;0;0;4729.669922;3328.209961;12602.0498
310;0;33;1089;18;0;0;0;0;0;0;25564.66992
311;0;22;484;11;0;0;0;1;5325.287109;1061.661011;0
312;0;23;529;16;0;0;0;0;2358.957031;0;3270.208984
313;0;51;2601;10;0;0;1;1;19030.35938;17532.63086;0
314;0;21;441;15;0;0;0;0;2470.63501;5116.742188;10890.83984
315;0;18;324;12;0;0;0;0;9065.527344;9338.323242;7972.334961
316;0;53;2809;10;0;0;1;1;0;0;0
317;0;21;441;12;0;0;0;0;4055.681885;1867.30603;0
318;0;32;1024;16;0;0;1;0;22525.68945;22712.0293;25564.66992
319;0;41;1681;12;0;0;1;0;25862.32031;24745.83984;25564.66992
320;0;48;2304;12;0;0;0;0;25862.32031;25243.55078;25564.66992
321;0;25;625;18;0;0;0;0;2351.120117;211.2581024;25564.66992
322;0;23;529;16;0;0;0;0;913.0183105;8675.90332;14265.96973
323;0;30;900;12;0;0;1;0;0;0;0
324;0;22;484;12;0;0;1;0;1806.44397;7114.742188;0
325;0;44;1936;10;0;0;1;1;5940.49707;2739.194092;2167.824951
326;0;17;289;11;0;0;0;1;2447.124023;3267.339111;7942.779785
327;0;23;529;12;0;0;0;0;331.1160889;0;594.0460815
328;0;47;2209;8;0;0;1;1;25168.74023;22651.16016;24401.69922
329;0;54;2916;12;0;0;1;0;0;0;0
330;0;49;2401;8;0;0;1;1;11408.80957;3709.548096;19136.56055
331;0;36;1296;18;0;0;1;0;23742.40039;25243.55078;25564.66992
332;0;33;1089;14;0;0;1;0;24951.25977;23277.76953;25564.66992
333;0;43;1849;15;0;0;1;0;19386.94922;25207.74023;22579.66016
334;0;37;1369;10;0;0;0;1;17235.66992;18397.34961;0
335;0;48;2304;12;0;0;0;0;16536.21094;16605.24023;16713.08984
336;0;54;2916;12;0;0;0;0;0;0;0
337;0;28;784;16;0;0;0;0;92.08554077;0;626.5560913
338;0;35;1225;3;0;0;1;1;19620.09961;20361.33984;15347.66992
339;0;55;3025;12;0;0;1;0;14696.45996;3134.85498;0
340;0;53;2809;7;0;0;1;1;22308.21094;21521.4707;10159.37012
341;0;25;625;12;0;0;1;0;19888.51953;17756.41992;14422.61035
342;0;30;900;8;0;0;1;1;18691.41016;15543.58008;22984.56055
343;0;44;1936;5;0;0;0;1;12764.62012;9442.161133;6224.184082
344;0;44;1936;6;0;0;1;1;25862.32031;15217.74023;25564.66992
345;0;20;400;10;0;0;0;1;3814.691895;5234.902832;5021.314941
346;0;49;2401;9;0;0;1;1;17147.5;12747.09961;12683.33008
347;0;55;3025;8;0;0;1;1;5619.176758;5449.742188;23559.39063
348;0;51;2601;16;0;0;1;0;25862.32031;25243.55078;25564.66992
349;0;24;576;16;0;0;0;0;9692.493164;16012.65039;7326.567871
350;0;54;2916;10;0;0;1;1;25055.09961;25243.55078;22154.08008
351;0;32;1024;16;1;0;0;0;17135.75;1031.225952;0
352;0;19;361;4;0;1;1;1;2298.219971;1786.741943;11607.54004
353;0;36;1296;18;0;0;0;0;0;0;0
354;0;55;3025;10;0;0;1;1;0;0;0
355;0;25;625;12;0;0;1;0;8679.551758;17666.90039;17465.25
356;0;26;676;18;0;0;1;0;0;8414.515625;22867.82031
357;0;19;361;13;0;0;0;0;5060.786133;5182.983887;16382.08008
358;0;52;2704;11;0;0;1;1;25862.32031;25243.55078;23290.44922
359;0;19;361;12;0;0;0;0;4335.856934;4687.064941;21407.82031
360;0;17;289;11;0;0;0;1;43.10387039;0;14911.74023
361;0;23;529;10;0;0;1;1;10595.70996;1462.69397;11861.70996
362;0;44;1936;12;0;0;1;0;25862.32031;25243.55078;25564.66992
363;0;28;784;12;0;0;1;0;13095.74023;4998.581055;9376.174805
364;0;49;2401;8;0;0;1;1;17911.61914;23684.17969;9464.838867
365;0;54;2916;10;0;0;1;1;14522.08984;8738.56543;8486.583984
366;0;22;484;11;0;0;0;1;5656.402832;0;3895.287109
367;0;33;1089;13;0;0;1;0;25862.32031;25243.55078;25564.66992
368;0;40;1600;12;0;0;0;0;20468.46094;6205.257813;22680.15039
369;0;47;2209;12;0;0;1;0;25862.32031;20522.4707;24505.14063
370;0;21;441;12;0;0;0;0;9792.415039;2169.871094;14998.91992
371;0;17;289;10;0;0;0;1;0;0;1384.630005
372;0;16;256;9;0;0;0;1;0;1346.322998;6705.922852
373;0;40;1600;12;0;0;1;0;15435.09961;12927.91992;13061.62988
374;0;36;1296;12;0;0;1;0;25241.23047;25243.55078;25564.66992
375;0;51;2601;12;0;0;1;0;25862.32031;25243.55078;25564.66992
376;0;46;2116;9;0;0;1;1;25062.93945;25166.56055;25097.71094
377;0;33;1089;18;0;0;1;0;23421.08008;25243.55078;18505.57031
378;0;28;784;13;0;0;1;0;24771.00977;21333.48047;14323.59961
379;0;27;729;11;0;0;1;1;14267.37988;12829.4502;18693.24023
380;0;33;1089;12;0;0;0;0;25862.32031;25243.55078;21944.24023
381;0;26;676;12;0;0;1;0;16822.25977;19978.21094;20015.81055
382;0;24;576;12;0;0;1;0;16103.20996;8922.967773;16470.74023
383;0;28;784;8;0;0;1;1;16450;18300.67969;23494.36914
384;0;36;1296;12;0;0;1;0;23912.84961;23274.18945;25378.48047
385;0;42;1764;12;0;0;1;0;21473.56055;22060.34961;23426.40039
386;0;16;256;10;0;0;0;1;0;0;1399.406982
387;0;53;2809;14;0;0;1;0;22995.91016;16304.46973;0
388;0;52;2704;10;0;0;1;1;17329.71094;16193.46973;20247.81055
389;0;22;484;12;0;0;0;0;0;0;0
390;0;55;3025;14;0;0;1;0;25862.32031;25243.55078;25564.66992
391;0;26;676;14;0;0;1;0;9927.605469;13396.98047;10757.84961
392;0;38;1444;12;0;0;1;0;2400.102051;0;0
393;0;43;1849;12;0;0;1;0;14328.12012;3453.531982;18781.90039
394;0;55;3025;7;0;0;1;1;18660.06055;16768.16016;19438.01953
395;0;49;2401;10;0;0;1;1;24083.31055;22758.58008;25232.17969
396;0;20;400;12;0;0;0;0;9578.855469;15727.98047;18666.64063
397;0;18;324;10;0;0;0;1;0;0;6478.353027
398;0;31;961;16;0;0;1;0;25862.32031;25243.55078;25564.66992
399;0;54;2916;18;0;0;1;0;25862.32031;25243.55078;25564.66992
400;0;28;784;12;0;0;1;0;20676.14063;4072.983887;17289.40039
401;0;24;576;12;0;0;1;0;18979.41992;20959.31055;17657.34961
402;0;21;441;8;0;0;0;1;18432.7793;6778.161133;9376.174805
403;0;39;1521;8;0;0;1;1;24163.64063;20937.82031;25564.66992
404;0;28;784;12;0;0;1;0;23569.98047;21926.08008;25564.66992
405;0;40;1600;12;0;0;1;0;25862.32031;25243.55078;23653.9707
406;0;38;1444;7;0;0;1;1;22306.25;18866.41992;22192.5
407;0;16;256;10;0;0;0;1;0;520.9838867;9925.888672
408;0;43;1849;12;0;0;1;0;0;0;0
409;0;49;2401;12;0;0;1;0;24812.15039;23202.58008;21153.66016
410;0;28;784;14;0;0;0;0;19316.41016;18626.51953;20002.50977
411;0;22;484;12;0;0;0;0;15341.05957;14904.44043;25564.66992
412;0;39;1521;12;0;0;1;0;7455.009766;8512.984375;9862.34668
413;0;27;729;16;0;0;1;0;21062.11914;24824.60938;12514.87012
414;0;21;441;12;0;0;0;0;15658.45996;8115.532227;15937.28027
415;0;48;2304;11;0;0;1;1;25862.32031;25243.55078;23724.90039
416;0;30;900;12;0;0;1;0;25862.32031;25243.55078;25564.66992
417;0;20;400;12;0;0;1;0;11510.69043;8185.35498;10026.37012
418;0;20;400;13;0;0;0;0;0;630.1934814;13858.12012
419;0;18;324;12;0;0;0;0;658.3135986;1432.258057;0
420;0;23;529;12;0;1;0;0;5817.062988;18105.5293;8876.704102
421;0;33;1089;12;0;0;1;0;18303.4707;13875;12640.46973
422;0;31;961;12;0;0;1;0;21610.71094;21537.58008;25564.66992
423;0;28;784;12;1;0;0;0;4700.280762;0;731.4746704
424;0;30;900;14;0;0;0;0;0;0;0
